strain,date,S1_mutations,clade_membership,country,current_frequency,division,emerging_lineage,epiweek,genbank_accession,host,mutational_fitness,pango_lineage,recency,region,url,author,accession,originating_lab,submitting_lab,logistic_growth
NZL/21MV0642/2021,7/31/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202130,OK433683,Homo sapiens,1.16,AY.39,One month ago,Oceania,,Ren et al CP,,Middlemore Hospital,Institute of Environmental Science and Research,
OU858018,9/12/2021,8,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202137,OU858018,Homo sapiens,1.15,AY.39,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU857702,10/9/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202140,OU857702,Homo sapiens,1.16,AY.39,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU857505,10/9/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202140,OU857505,Homo sapiens,1.16,AY.39,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
Switzerland/BE-IFIK-1589-5830/2021,7/19/2021,7,21J (Delta),Switzerland,,Bern,B.1.617.2 (Delta),202129,OU571708,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? CJ,,"Institute for Infectious Diseases, University of Bern, Switzerland","Institute for Infectious Diseases, University of Bern, Switzerland",
OU819973,7/26/2021,7,21J (Delta),Slovakia,,Slovakia,B.1.617.2 (Delta),202130,OU819973,Homo sapiens,1.16,B.1.617.2,One month ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia",Public Health Authority of the Slovak Republic,
OU651664,8/12/2021,7,21J (Delta),Germany,0,Saxony,B.1.617.2 (Delta),202132,OU651664,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? F,,"Bioscientia Labor Wermsdorf, Am Fasanenholz 31; 04779 Wermsdorf",Robert Koch Institute,3.77
OU706978,8/17/2021,6,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202133,OU706978,Homo sapiens,1.13,B.1.617.2,Older,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU858031,9/13/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202137,OU858031,Homo sapiens,1.16,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU857577,9/13/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202137,OU857577,Homo sapiens,1.16,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU858090,9/10/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202136,OU858090,Homo sapiens,1.16,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
OU451392,6/28/2021,7,21J (Delta),Germany,,Bavaria,B.1.617.2 (Delta),202126,OU451392,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? F,,"Bayerisches Landesamt für Gesundheit und Lebensmittelsicherheit (LGL), Veterinärstraße 2; 85764 Oberschleißheim",Robert Koch Institute,
OU706821,8/20/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202133,OU706821,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
NZL/21MV1617/2021,9/15/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202137,OK426520,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CQ,,LabPLUS,Institute of Environmental Science and Research,3.77
OU857851,8/9/2021,7,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202132,OU857851,Homo sapiens,1.16,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
OU650737,8/10/2021,7,21J (Delta),Germany,0,Saxony,B.1.617.2 (Delta),202132,OU650737,Homo sapiens,1.16,B.1.617.2,Older,Europe,,? F,,"Bioscientia Labor Wermsdorf, Am Fasanenholz 31; 04779 Wermsdorf",Robert Koch Institute,
NZL/21MV1560/2021,9/11/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202136,OK426496,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CR,,LabPLUS,Institute of Environmental Science and Research,3.77
NZL/21MV1455/2021,9/7/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202136,OK426789,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CS,,LabPLUS,Institute of Environmental Science and Research,3.77
NZL/21MV1544/2021,9/10/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202136,OK427051,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CT,,LabPLUS,Institute of Environmental Science and Research,3.77
OU857948,10/9/2021,9,21J (Delta),Slovakia,0,Slovakia,B.1.617.2 (Delta),202140,OU857948,Homo sapiens,1.16,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",3.77
NZL/21MV1454/2021,9/7/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202136,OK426735,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CU,,LabPLUS,Institute of Environmental Science and Research,3.77
NZL/21MV1458/2021,9/7/2021,7,21J (Delta),New Zealand,0,Auckland,B.1.617.2 (Delta),202136,OK427098,Homo sapiens,1.16,B.1.617.2,One month ago,Oceania,,Ren et al CV,,LabPLUS,Institute of Environmental Science and Research,3.77
SYC/SS2565/2021,6/25/2021,7,21J (Delta),Seychelles,,Seychelles,B.1.617.2 (Delta),202125,OK377470,Homo sapiens,1.16,B.1.617.2,One month ago,Africa,,Githinji et al FX,,,,
SYC/SS2662/2021,8/20/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202133,OK377541,Homo sapiens,1.16,B.1.617.2,One month ago,Africa,,Githinji et al FY,,,,-0.81
SYC/SS2624/2021,8/16/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202133,OK377506,Homo sapiens,1.15,B.1.617.2,One month ago,Africa,,Githinji et al FZ,,,,-0.81
SYC/SS2640/2021,8/18/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202133,OK377520,Homo sapiens,1.21,B.1.617.2,One month ago,Africa,,Githinji et al GA,,,,-0.81
SYC/SS2609/2021,8/13/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202132,OK377491,Homo sapiens,1.22,B.1.617.2,One month ago,Africa,,Githinji et al GB,,,,-0.81
SYC/SS2607/2021,8/13/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202132,OK377489,Homo sapiens,1.22,B.1.617.2,One month ago,Africa,,Githinji et al GC,,,,-0.81
SYC/SS2608/2021,8/13/2021,7,21J (Delta),Seychelles,0,Seychelles,B.1.617.2 (Delta),202132,OK377490,Homo sapiens,1.22,B.1.617.2,One month ago,Africa,,Githinji et al GD,,,,-0.81
EGY/EGY-Wave4-004/2021,8/4/2021,7,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354412,Homo sapiens,1.09,AY.39,One month ago,Africa,,Seadawy et al I,,,,
EGY/EGY-Wave4-005/2021,8/4/2021,7,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354413,Homo sapiens,1.24,AY.39,One month ago,Africa,,Seadawy et al J,,,,
BHR/21342703119/2021,10/22/2021,7,21J (Delta),Bahrain,0.01,Bahrain,B.1.617.2 (Delta),202142,OK635317,Homo sapiens,1.2,B.1.617.2,3-7 days ago,Asia,,Alwasti et al EB,,,,-0.69
BHR/21342704532/2021,10/22/2021,7,21J (Delta),Bahrain,0.01,Bahrain,B.1.617.2 (Delta),202142,OK635586,Homo sapiens,1.16,B.1.617.2,3-7 days ago,Asia,,Alwasti et al EC,,,,-0.69
EGY/EGY-Wave4-026/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354431,Homo sapiens,1.09,AY.29.1,One month ago,Africa,,Seadawy et al K,,,,-0.69
EGY/EGY-Wave4-019/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354425,Homo sapiens,1.24,AY.39,One month ago,Africa,,Seadawy et al L,,,,-0.69
EGY/EGY-Wave4-010/2021,9/4/2021,7,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354417,Homo sapiens,1.02,AY.39,One month ago,Africa,,Seadawy et al M,,,,-0.69
EGY/EGY-Wave4-015/2021,9/4/2021,7,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354421,Homo sapiens,1.04,AY.39,One month ago,Africa,,Seadawy et al N,,,,-0.69
EGY/EGY-Wave4-027/2021,9/4/2021,7,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354432,Homo sapiens,0.91,AY.34,One month ago,Africa,,Seadawy et al O,,,,-0.69
EGY/EGY-Wave4-007/2021,8/4/2021,7,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354415,Homo sapiens,1.08,AY.39,One month ago,Africa,,Seadawy et al P,,,,
EGY/EGY-Wave4-017/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354423,Homo sapiens,1.12,AY.39,One month ago,Africa,,Seadawy et al Q,,,,-0.69
EGY/EGY-Wave4-011/2021,9/4/2021,9,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354418,Homo sapiens,1.12,AY.39,One month ago,Africa,,Seadawy et al R,,,,-0.69
EGY/EGY-Wave4-013/2021,9/4/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354419,Homo sapiens,1.09,AY.39,One month ago,Africa,,Seadawy et al S,,,,-0.69
EGY/EGY-Wave4-002/2021,8/4/2021,6,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354410,Homo sapiens,1.24,AY.39,One month ago,Africa,,Seadawy et al T,,,,
EGY/EGY-Wave4-001/2021,8/4/2021,8,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354409,Homo sapiens,1.28,AY.34,One month ago,Africa,,Seadawy et al U,,,,
EGY/EGY-Wave4-009/2021,9/4/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354416,Homo sapiens,1.25,B.1.617.2,One month ago,Africa,,Seadawy et al V,,,,-0.69
EGY/EGY-Wave4-003/2021,8/4/2021,8,21J (Delta),Egypt,,Egypt,B.1.617.2 (Delta),202131,OK354411,Homo sapiens,1.31,AY.39,One month ago,Africa,,Seadawy et al W,,,,
EGY/EGY-Wave4-018/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354424,Homo sapiens,1.3,AY.39,One month ago,Africa,,Seadawy et al X,,,,-0.69
NZL/21MV0591/2021,7/12/2021,7,21J (Delta),New Zealand,,New Zealand,B.1.617.2 (Delta),202128,OK433701,Homo sapiens,1.19,B.1.617.2,One month ago,Oceania,,Ren et al CW,,Middlemore Hospital,Institute of Environmental Science and Research,
EGY/CCHE57357_W4_A040/2021,9/3/2021,7,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104626,Homo sapiens,1.03,B.1.617.2,Older,Africa,,Hatem et al J,,,,-0.64
IND/535MN908947.3/2021,9/25/2021,6,21J (Delta),India,0,India,B.1.617.2 (Delta),202138,OK356435,Homo sapiens,1.1,B.1.617.2,One month ago,Asia,,Nair et al N,,,,-0.64
IND/barcode_18_MN908947.3/2021,9/10/2021,6,21J (Delta),India,0,India,B.1.617.2 (Delta),202136,OK189627,Homo sapiens,1.04,B.1.617.2,Older,Asia,,Nair et al O,,,,-0.64
IND/408MN908947.3/2021,9/10/2021,6,21J (Delta),India,0,India,B.1.617.2 (Delta),202136,OK190652,Homo sapiens,1.09,B.1.617.2,Older,Asia,,Nair et al P,,,,-0.64
USA/DC-CDC-LC0100838/2021,7/14/2021,8,21J (Delta),USA,,Washington DC,B.1.617.2 (Delta),202128,MZ785375,Homo sapiens,1.22,B.1.617.2,Older,North America,,Howard et al BX,,Laboratory Corporation of America,CDC-OAMD,
USA/PA-CDC-LC0217808/2021,8/25/2021,8,21J (Delta),USA,0,Pennsylvania,B.1.617.2 (Delta),202134,OK152898,Homo sapiens,1.23,B.1.617.2,Older,North America,,Howard et al BY,,,,-0.64
USA/IA-CDC-ASC210335196/2021,9/23/2021,8,21J (Delta),USA,0,Iowa,B.1.617.2 (Delta),202138,OK618040,Homo sapiens,1.19,B.1.617.2,3-7 days ago,North America,,Howard et al BZ,,,,-0.64
USA/AL-CDC-ASC210128206/2021,9/4/2021,8,21J (Delta),USA,0,Alabama,B.1.617.2 (Delta),202135,OK229374,Homo sapiens,1.22,AY.39,Older,North America,,Howard et al CA,,,,-0.64
USA/GA-CDC-QDX28549402/2021,9/7/2021,8,21J (Delta),USA,0,Georgia,B.1.617.2 (Delta),202136,OK338294,Homo sapiens,1.2,B.1.617.2,One month ago,North America,,Howard et al CB,,,,-0.64
USA/NM-CDC-LC0250122/2021,8/22/2021,8,21J (Delta),USA,0,New Mexico,B.1.617.2 (Delta),202134,OK202448,Homo sapiens,1.21,B.1.617.2,Older,North America,,Howard et al CC,,,,-0.64
USA/KS-CDC-LC0169352/2021,8/4/2021,8,21J (Delta),USA,,Kansas,B.1.617.2 (Delta),202131,MZ943367,Homo sapiens,1.21,B.1.617.2,Older,North America,,Howard et al CD,,,,
USA/VI-CDC-ASC210335581/2021,9/23/2021,8,21J (Delta),USA,0,Virgin Islands Of The U.S.,B.1.617.2 (Delta),202138,OK617934,Homo sapiens,1.22,B.1.617.2,3-7 days ago,North America,,Howard et al CE,,,,-0.64
USA/FL-CDC-ASC210208995/2021,8/1/2021,8,21J (Delta),USA,,Florida,B.1.617.2 (Delta),202131,OK012945,Homo sapiens,1.2,B.1.617.2,Older,North America,,Howard et al CF,,,,
USA/NE-CDC-QDX30084648/2021,10/14/2021,8,21J (Delta),USA,0.01,Nebraska,B.1.617.2 (Delta),202141,OK667467,Homo sapiens,1.2,,New,North America,,Howard et al CG,,,,-0.64
USA/IL-CDC-ASC210179791/2021,8/25/2021,8,21J (Delta),USA,0,Illinois,B.1.617.2 (Delta),202134,OK407697,Homo sapiens,1.2,B.1.617.2,One month ago,North America,,Howard et al CH,,,,-0.64
USA/IL-CDC-QDX29520236/2021,10/5/2021,8,21J (Delta),USA,0,Illinois,B.1.617.2 (Delta),202140,OK577567,Homo sapiens,1.25,B.1.617.2,3-7 days ago,North America,,Howard et al CI,,,,-0.64
USA/SRL_330799589/2021,10/4/2021,8,21J (Delta),USA,0,Mississippi,B.1.617.2 (Delta),202140,OK639130,Homo sapiens,1.22,,1-2 days ago,North America,,Moller et al B,,,,-0.64
USA/ME-CDC-ASC210329992/2021,9/20/2021,9,21J (Delta),USA,0,Maine,B.1.617.2 (Delta),202138,OK567040,Homo sapiens,1.2,B.1.617.2,One week ago,North America,,Howard et al CJ,,,,-0.64
USA/ME-CDC-QDX29600999/2021,10/7/2021,8,21J (Delta),USA,0,Maine,B.1.617.2 (Delta),202140,OK627262,Homo sapiens,1.17,B.1.617.2,3-7 days ago,North America,,Howard et al CK,,,,-0.64
USA/IL-CDC-ASC210134296/2021,9/7/2021,8,21J (Delta),USA,0,Illinois,B.1.617.2 (Delta),202136,OK434441,Homo sapiens,1.2,B.1.617.2,One month ago,North America,,Howard et al CL,,,,-0.64
IND/CWS_0066_56829297/2021,6/16/2021,5,21J (Delta),India,,India,B.1.617.2 (Delta),202124,MZ558145,Homo sapiens,1.07,B.1.617.2,Older,Asia,,Prakash et al A,,,,
Switzerland/AG-ETHZ-33323667/2021,6/28/2021,7,21J (Delta),Switzerland,,Aargau,B.1.617.2 (Delta),202126,OU571162,Homo sapiens,1.16,AY.7.2,Older,Europe,,? CK,,"Viollier AG; Hagmattstrasse 14, 4123 Allschwil",ETH ZURICH D-BSSE,
Switzerland/TG-UZH-IMV-3ba4d72c/2021,7/30/2021,7,21J (Delta),Switzerland,,Thurgau,B.1.617.2 (Delta),202130,OU576679,Homo sapiens,1.16,AY.7.1,Older,Europe,,? CL,,"Kantonsspital Winterthur, Winterthur 1, Switzerland","Institute of Medical Virology, Zürich, Switzerland",
Liechtenstein/FL-Risch-2172603123/2021,7/25/2021,7,21J (Delta),Liechtenstein,,Liechtenstein,B.1.617.2 (Delta),202130,OU579088,Homo sapiens,1.19,AY.20,Older,Europe,,? CM,,"Dr. Risch Ostschweiz AG, Lagerstrasse 30, 9470 Buchs",Dr. Risch,
IND/376MN908947.3/2021,9/10/2021,7,21J (Delta),India,0,India,B.1.617.2 (Delta),202136,OK190620,Homo sapiens,1.08,B.1.617.2,Older,Asia,,Nair et al Q,,,,-0.89
Pakistan/UHS2-Pak-466/2021,7/1/2021,7,21J (Delta),Pakistan,,Pakistan,B.1.617.2 (Delta),202126,OU596472,Homo sapiens,1.2,B.1.617.2,Older,Asia,,Tiwari et al AJ,,University of Health Sciences,Quadram Institute Bioscience,
Pakistan/UHS2-Pak-467/2021,7/1/2021,7,21J (Delta),Pakistan,,Pakistan,B.1.617.2 (Delta),202126,OU598976,Homo sapiens,1.2,B.1.617.2,Older,Asia,,Tiwari et al AK,,University of Health Sciences,Quadram Institute Bioscience,
IND/CWS_0080_54315840/2021,6/7/2021,5,21J (Delta),India,,India,B.1.617.2 (Delta),202123,MZ558159,Homo sapiens,1.07,B.1.617.2,Older,Asia,,Prakash et al B,,,,
EGY/EGY-Wave4-014/2021,9/4/2021,9,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354420,Homo sapiens,1.17,AY.32,One month ago,Africa,,Seadawy et al Y,,,,-0.89
EGY/EGY-Wave4-024/2021,9/4/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354430,Homo sapiens,1.03,AY.32,One month ago,Africa,,Seadawy et al Z,,,,-0.89
EGY/EGY-Wave4-020/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK354426,Homo sapiens,1.27,AY.32,One month ago,Africa,,Seadawy et al AA,,,,-0.89
BHR/21921666127_S57_L001/2021,10/9/2021,9,21J (Delta),Bahrain,0,Bahrain,B.1.617.2 (Delta),202140,OK487646,Homo sapiens,1.21,AY.32,One month ago,Asia,,Alwasti et al ED,,,,-0.89
EGY/CCHE57357_W4_A010/2021,9/4/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104596,Homo sapiens,1.07,AY.32,Older,Africa,,Hatem et al K,,,,-0.89
BHR/342412969/2021,7/28/2021,9,21J (Delta),Bahrain,,Bahrain,B.1.617.2 (Delta),202130,MZ769228,Homo sapiens,1.13,AY.32,Older,Asia,,Alwasti et al EE,,,,
EGY/CCHE57357_W4_A034/2021,9/2/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104620,Homo sapiens,1.04,AY.32,Older,Africa,,Hatem et al L,,,,-0.89
EGY/CCHE57357_W4_A033/2021,9/2/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104619,Homo sapiens,1.08,AY.32,Older,Africa,,Hatem et al M,,,,-0.89
BHR/921068853/2021,6/26/2021,10,21J (Delta),Bahrain,,Bahrain,B.1.617.2 (Delta),202125,MZ620574,Homo sapiens,1.24,B.1.617.2,Older,Asia,,Alwasti et al EF,,,,
EGY/CCHE57357_W4_A045/2021,9/3/2021,5,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104631,Homo sapiens,1.06,B.1.617.2,Older,Africa,,Hatem et al N,,,,-3.68
BGD/icddrb-CMOSH-CU-2552610/2021,6/29/2021,7,21J (Delta),Bangladesh,,Chattogram,B.1.617.2 (Delta),202126,MZ674382,Homo sapiens,1.18,B.1.617.2,Older,Asia,,Mannan et al L,,,,
BGD/icddrb-CMOSH-CU-0026/2021,7/3/2021,7,21J (Delta),Bangladesh,,Chattogram,B.1.617.2 (Delta),202126,MZ674367,Homo sapiens,1.28,B.1.617.2,Older,Asia,,Mannan et al M,,,,
BGD/icddrb-CMOSH-CU-0024/2021,7/3/2021,7,21J (Delta),Bangladesh,,Chattogram,B.1.617.2 (Delta),202126,MZ674369,Homo sapiens,1.19,B.1.617.2,Older,Asia,,Mannan et al N,,,,
BGD/icddrb-CMOSH-CU-0025B/2021,7/3/2021,7,21J (Delta),Bangladesh,,Chattogram,B.1.617.2 (Delta),202126,MZ674368,Homo sapiens,1.19,B.1.617.2,Older,Asia,,Mannan et al O,,,,
IND/GBRC1273/2021,7/6/2021,7,21J (Delta),India,,India,B.1.617.2 (Delta),202127,MZ713383,Homo sapiens,1.15,B.1.617.2,Older,Asia,,Raval et al C,,,,
BHR/342322791/2021,6/30/2021,8,21J (Delta),Bahrain,,Bahrain,B.1.617.2 (Delta),202126,MZ683358,Homo sapiens,1.09,B.1.617.2,Older,Asia,,Alwasti et al EG,,,,
Switzerland/GE-HUG-35271792/2021,9/5/2021,8,21J (Delta),Switzerland,0,Geneva,B.1.617.2 (Delta),202136,OU736212,Homo sapiens,1.15,B.1.617.2,Older,Europe,,? CN,,"Laboratoire de virologie, Geneva, Switzerland",HUG,-3.64
EGY/CCHE57357_W4_A036/2021,9/2/2021,5,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104622,Homo sapiens,1.11,B.1.617.2,Older,Africa,,Hatem et al O,,,,-3.59
England/ALDP-2034E12/2021,10/3/2021,7,21J (Delta),United Kingdom,0,England,B.1.617.2 (Delta),202140,OU877394,Homo sapiens,1.28,AY.4,One week ago,Europe,,Wynn et al B,,Lighthouse Lab in Alderley Park,Wellcome Sanger Institute,-3.59
BHR/510206605_S97_L001/2021,9/16/2021,10,21J (Delta),Bahrain,0,Bahrain,B.1.617.2 (Delta),202137,OK254060,Homo sapiens,1.11,AY.29.1,Older,Asia,,Alwasti et al EH,,,,-3.69
IND/518MN908947.3/2021,9/25/2021,7,21J (Delta),India,0,India,B.1.617.2 (Delta),202138,OK356419,Homo sapiens,1.08,B.1.617.2,One month ago,Asia,,Nair et al R,,,,-3.69
EGY/CCHE57357_W4_A006/2021,9/4/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104592,Homo sapiens,1.05,B.1.617.2,Older,Africa,,Hatem et al P,,,,-3.69
EGY/CCHE57357_W4_A027/2021,9/1/2021,8,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104613,Homo sapiens,1.15,B.1.617.2,Older,Africa,,Hatem et al Q,,,,-3.69
PAK/164688/2021,7/18/2021,8,21J (Delta),Pakistan,,Karachi,B.1.617.2 (Delta),202129,OK148173,Homo sapiens,1.19,B.1.617.2,Older,Asia,,Kabir et al B,,,,
Switzerland/VD-CHUV-GEN5519/2021,6/30/2021,8,21J (Delta),Switzerland,,Vaud,B.1.617.2 (Delta),202126,OU407542,Homo sapiens,1.19,B.1.617.2,Older,Europe,,? CO,,"CHUV, CH-1011 Lausanne, Switzerland","laboratory of genomics and metagenomics, institute of microbiology, university hospital centre and university of lausanne, switzerland",
PAK/202455/2021,8/19/2021,8,21J (Delta),Pakistan,0,Karachi,B.1.617.2 (Delta),202133,OK148179,Homo sapiens,1.23,B.1.617.2,Older,Asia,,Kabir et al C,,,,-3.69
BHR/921403761/2021,8/29/2021,8,21J (Delta),Bahrain,0,Bahrain,B.1.617.2 (Delta),202135,OK039463,Homo sapiens,1.18,B.1.617.2,Older,Asia,,Alwasti et al EI,,,,-3.69
BHR/342479856/2021,8/17/2021,8,21J (Delta),Bahrain,0,Bahrain,B.1.617.2 (Delta),202133,MZ914538,Homo sapiens,1.19,B.1.617.2,Older,Asia,,Alwasti et al EJ,,,,-3.69
BHR/400199661_S4_L001/2021,10/8/2021,8,21J (Delta),Bahrain,0,Bahrain,B.1.617.2 (Delta),202140,OK467882,Homo sapiens,1.2,B.1.617.2,One month ago,Asia,,Alwasti et al EK,,,,-3.69
BHR/342409875/2021,7/28/2021,8,21J (Delta),Bahrain,,Bahrain,B.1.617.2 (Delta),202130,MZ683362,Homo sapiens,1.09,B.1.617.2,Older,Asia,,Alwasti et al EL,,,,
PAK/JRCGR_SCV-103/2021,7/13/2021,9,21J (Delta),Pakistan,,Karachi,B.1.617.2 (Delta),202128,MZ676662,Homo sapiens,1.21,B.1.617.2,Older,Asia,,Irfan et al O,,,,
Switzerland/GE-HUG-35269593/2021,9/5/2021,8,21J (Delta),Switzerland,0,Geneva,B.1.617.2 (Delta),202136,OU735674,Homo sapiens,1.23,B.1.617.2,Older,Europe,,? CP,,"Laboratoire de virologie, Geneva, Switzerland",HUG,-3.69
UZB/hCoV-19-Uzb-CGB-35/2021,7/23/2021,8,21J (Delta),Uzbekistan,,Tashkent,B.1.617.2 (Delta),202129,MZ892622,Homo sapiens,1.21,B.1.617.2,Older,Asia,,Ayubov et al G,,,,
EGY/CCHE57357_W4_A001/2021,9/4/2021,6,21J (Delta),Egypt,0,Egypt,B.1.617.2 (Delta),202135,OK104587,Homo sapiens,1.11,B.1.617.2,Older,Africa,,Hatem et al R,,,,-3.69
Liechtenstein/FL-Risch-21A0804521/2021,10/7/2021,11,21J (Delta),Liechtenstein,0,Liechtenstein,B.1.617.2 (Delta),202140,OU898370,Homo sapiens,1.26,,1-2 days ago,Europe,,? CQ,,,,-3.69
UZB/UZB-402/2021,6/25/2021,8,21J (Delta),Uzbekistan,,Tashkent,B.1.617.2 (Delta),202125,MZ573393,Homo sapiens,1.4,AY.39,Older,Asia,,Abdullaev et al I,,,,
OU857846,4/9/2021,8,21J (Delta),Slovakia,,Slovakia,B.1.617.2 (Delta),202114,OU857846,Homo sapiens,1.25,B.1.617.2,One week ago,Europe,,? N,,"Public Health Authority of the Slovak Republic, Trnavská cesta 52, 826 45 Bratislava, Slovakia","Laboratory of Genomics and Bioinformatics, Comenius University Science Park",
PAK/JRCGR_KHI_SCV-161/2021,8/1/2021,9,21J (Delta),Pakistan,,Pakistan,B.1.617.2 (Delta),202131,OK398479,Homo sapiens,1.23,B.1.617.2,One month ago,Asia,,Irfan et al P,,,,
