Author	n (strains)	publication title	journal	publication URL	strains
Anke Wienecke-Baldacchino et al	20	unknown	unknown	unknown	hCoV-19/Luxembourg/LNS9091425/2020,hCoV-19/Luxembourg/LNS1987832/2020,hCoV-19/Luxembourg/LNS2117299/2020,hCoV-19/Luxembourg/LNS0849593/2021,hCoV-19/Luxembourg/LNS0344650/2021,hCoV-19/Luxembourg/LNS2623756/2021,hCoV-19/Luxembourg/LNS9347542/2021,hCoV-19/Luxembourg/LNS8987431/2021,hCoV-19/Luxembourg/LNS1417924/2021,hCoV-19/Luxembourg/LNS5818128/2021,hCoV-19/Luxembourg/LNS9118560/2021,hCoV-19/Luxembourg/LNS4518554/2021,hCoV-19/Luxembourg/LNS2046563/2021,hCoV-19/Luxembourg/LNS1380652/2021,hCoV-19/Luxembourg/LNS0742204/2021,hCoV-19/Luxembourg/LNS3103163/2021,hCoV-19/Luxembourg/LNS4530632/2021,hCoV-19/Luxembourg/LNS9533896/2021,hCoV-19/Luxembourg/LNS3892368/2021,hCoV-19/Luxembourg/LNS0582250/2021
Stern Lab et al	1	unknown	unknown	unknown	hCoV-19/Israel/24096117/2021
Neta Zuckerman et al	17	unknown	unknown	unknown	hCoV-19/Israel/CVL-n896/2020,hCoV-19/Israel/CVL-n26496/2020,hCoV-19/Israel/CVL-12314/2021,hCoV-19/Israel/CVL-2857/2021,hCoV-19/Israel/CVL-8915/2021,hCoV-19/Israel/CVL-6845/2021,hCoV-19/Israel/CVL-11999/2021,hCoV-19/Israel/CVL-n1863/2020,hCoV-19/Israel/CVL-s2064/2020,hCoV-19/Israel/CVL-s2049/2020,hCoV-19/Israel/CVL-15146/2021,hCoV-19/Israel/CVL-21568/2021,hCoV-19/Israel/CVL-15674/2021,hCoV-19/Israel/CVL-22005/2021,hCoV-19/Israel/CVL-22275/2021,hCoV-19/Israel/CVL-17217/2021,hCoV-19/Israel/CVL-21177/2021
Rawlinson et al	2	unknown	unknown	unknown	hCoV-19/Australia/NSW2474/2020,hCoV-19/Australia/NSW2456/2020
Goletić T. et al	4	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI004/2020,hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI007/2020,hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI005/2020,hCoV-19/BosniaandHerzegovina/VFS-UNSA-LMGFI006/2020
M.Tukalo et al.	2	unknown	unknown	unknown	hCoV-19/Ukraine/06-62592-1/2021,hCoV-19/Ukraine/20-62720/2021
Murat Karamese et al	1	unknown	unknown	unknown	hCoV-19/Turkey/KU-026/2020
Stefan Schmutz et al B	1	A doubt of multiple introduction of SARS-CoV-2 in Italy: A preliminary overview	unknown	https://dx.doi.org/10.1002/jmv.25773	hCoV-19/Switzerland/ZH-UZH-1000477797/2020
David A Fitzpatrick et al	2	unknown	unknown	unknown	hCoV-19/Ireland/D-U-MAY-000251/2020,hCoV-19/Ireland/D-U-MAY-000067/2020
Danish Covid-19 Genome Consortia et al	2	unknown	unknown	unknown	hCoV-19/Denmark/DCGC-2489/2020,hCoV-19/Denmark/DCGC-1513/2020
Tsuyoshi Sekizuka et al B	12	unknown	unknown	unknown	hCoV-19/Japan/PG-1862/2020,hCoV-19/Japan/PG-17310/2020,hCoV-19/Japan/PG-25148/2020,hCoV-19/Japan/PG-28696/2021,hCoV-19/Japan/PG-9100/2020,hCoV-19/Japan/PG-49298/2021,hCoV-19/Japan/IC-2150/2021,hCoV-19/Japan/PG-122862/2021,hCoV-19/Japan/PG-109179/2021,hCoV-19/Japan/PG-83069/2021,hCoV-19/Japan/PG-100707/2021,hCoV-19/Japan/IC-2135/2021
Hadar Golan Berman et al	1	unknown	unknown	unknown	hCoV-19/Israel/HMO-VL-2429879/2020
Nouar Qutob et al	4	unknown	unknown	unknown	hCoV-19/Palestine/40/2020,hCoV-19/Palestine/52/2020,hCoV-19/Palestine/90/2020,hCoV-19/Palestine/43/2020
Ereqat et al	2	unknown	unknown	unknown	hCoV-19/Palestine/AAS23/2020,hCoV-19/Palestine/AAS68/2021
Péter Urbán et al	3	unknown	unknown	unknown	hCoV-19/Hungary/SRC-00541/2020,hCoV-19/Hungary/SRC-00105w/2020,hCoV-19/Hungary/SRC-00067/2020
Dr. Milza Abdul Muhsin et al	8	unknown	unknown	unknown	hCoV-19/Maldives/MAV13787/2020,hCoV-19/Maldives/MAV23037/2021,hCoV-19/Maldives/MAV01979/2020,hCoV-19/Maldives/MAV04305/2020,hCoV-19/Maldives/MAV04808/2020,hCoV-19/Maldives/MAV02905/2020,hCoV-19/Maldives/MAV09481/2020,hCoV-19/Maldives/MAV27957/2021
Nalia Ismael et al	17	unknown	unknown	unknown	hCoV-19/Mozambique/INS-K007950/2020,hCoV-19/Mozambique/INS-K007893/2020,hCoV-19/Mozambique/INS-K011782/2020,hCoV-19/Mozambique/CERI-KRISP-K016071/2021,hCoV-19/Mozambique/CERI-KRISP-K025912/2021,hCoV-19/Mozambique/CERI-KRISP-K025861/2021,hCoV-19/Mozambique/CERI-KRISP-K025909/2021,hCoV-19/Mozambique/CERI-KRISP-K021153/2021,hCoV-19/Mozambique/CERI-KRISP-K021203/2021,hCoV-19/Mozambique/CERI-KRISP-K021197/2021,hCoV-19/Mozambique/CERI-KRISP-K021124/2021,hCoV-19/Mozambique/CERI-KRISP-K025863/2021,hCoV-19/Mozambique/CERI-KRISP-K025860/2021,hCoV-19/Mozambique/CERI-KRISP-K025907/2021,hCoV-19/Mozambique/CERI-KRISP-K025937/2021,hCoV-19/Mozambique/CERI-KRISP-K025862/2021,hCoV-19/Mozambique/CERI-KRISP-K025922/2021
Catherine E. Arnold et al	6	unknown	unknown	unknown	hCoV-19/Djibouti/NAMRU3-79/2021,hCoV-19/Somalia/NAMRU3-Mog-10/2021,hCoV-19/Somalia/NAMRU3_Mog_32/2021,hCoV-19/Djibouti/NAMRU3_EB1/2020,hCoV-19/Djibouti/NAMRU3_CL1/2020,hCoV-19/Djibouti/NAMRU3_B67/2021
Anna Majer et al	19	unknown	unknown	unknown	hCoV-19/Canada/NL-NML-2415/2020,hCoV-19/Canada/SK-NML-16567/2021,hCoV-19/Canada/SK-NML-23718/2021,hCoV-19/Canada/NS-NML-149987/2021,hCoV-19/Canada/NS-NML-117365/2021,hCoV-19/Canada/SK-NML-2726/2020,hCoV-19/Canada/SK-NML-191298/2021,hCoV-19/Canada/NL-NML-124067/2021,hCoV-19/Canada/NL-NML-85342/2021,hCoV-19/Canada/NL-NML-97351/2021,hCoV-19/Canada/NL-PHML-191516/2021,hCoV-19/Canada/MB-NML-194716/2021,hCoV-19/Canada/NS-NML-157025/2021,hCoV-19/Canada/NS-NML-193994/2021,hCoV-19/Canada/SK-NML-109730/2021,hCoV-19/Canada/SK-NML-138726/2021,hCoV-19/Canada/MB-CPL-211730/2021,hCoV-19/Canada/NL-PHML-216822/2021,hCoV-19/Canada/NL-NML-157413/2021
Prystajecky Natalie et al	6	unknown	unknown	unknown	hCoV-19/Canada/BC-BCCDC-5070/2020,hCoV-19/Canada/BC-BCCDC-145074/2021,hCoV-19/Canada/BC-BCCDC-26857/2021,hCoV-19/Canada/BC-BCCDC-124096/2021,hCoV-19/Canada/BC-BCCDC-195141/2021,hCoV-19/Canada/BC-BCCDC-210545/2021
RCGEB - MASA et al	1	unknown	unknown	unknown	hCoV-19/NorthMacedonia/883/2020
Yosuke Hirotsu et al	1	unknown	unknown	unknown	hCoV-19/Japan/YCH0017/2020
Morais J et al	11	unknown	unknown	unknown	hCoV-19/Angola/KRISP-K009709/2020,hCoV-19/Angola/CERI-KRISP-K023608/2021,hCoV-19/Angola/CERI-KRISP-K024616/2021,hCoV-19/Angola/CERI-KRISP-K023609/2021,hCoV-19/Angola/CERI-KRISP-K013525/2020,hCoV-19/Angola/CERI-KRISP-K013688/2020,hCoV-19/Angola/CERI-KRISP-K013765/2020,hCoV-19/Angola/CERI-KRISP-K021737/2021,hCoV-19/Angola/CERI-KRISP-K021736/2021,hCoV-19/Angola/CERI-KRISP-K023610/2021,hCoV-19/Angola/CERI-KRISP-K021670/2021
Ronnie Gavilan Chavez et al	3	unknown	unknown	unknown	hCoV-19/Peru/LAM-INS-718/2020,hCoV-19/Peru/HUA-INS-673/2020,hCoV-19/Peru/LIM-INS-360/2020
Jorge González et al	1	unknown	unknown	unknown	hCoV-19/Chile/MA-CADIUMAG-35/2020
Carlos Padilla Rojas et al	43	unknown	unknown	unknown	hCoV-19/Peru/LIM-INS-906/2021,hCoV-19/Peru/ANC-INS-781/2020,hCoV-19/Peru/LIM-INS-830/2020,hCoV-19/Peru/LAL-INS-2835/2021,hCoV-19/Peru/LIM-INS-3845/2021,hCoV-19/Peru/JUN-INS-3714/2021,hCoV-19/Peru/ARE-INS-4222/2021,hCoV-19/Peru/ARE-INS-3551/2021,hCoV-19/Peru/LIM-INS-2991/2021,hCoV-19/Peru/LIM-INS-3628/2021,hCoV-19/Peru/JUN-INS-4861/2021,hCoV-19/Peru/ARE-INS-6258/2021,hCoV-19/Peru/LAL-INS-6069/2021,hCoV-19/Peru/ARE-INS-7291/2021,hCoV-19/Peru/LIM-INS-4462/2021,hCoV-19/Peru/LIM-INS-949/2021,hCoV-19/Peru/LIM-INS-5631/2021,hCoV-19/Peru/LAM-INS-3385/2021,hCoV-19/Peru/LAM-INS-3391/2021,hCoV-19/Peru/ICA-INS-212/2020,hCoV-19/Peru/LIM-INS-4007/2021,hCoV-19/Peru/LIM-INS-5416/2021,hCoV-19/Peru/LIM-INS-4010/2021,hCoV-19/Peru/HUC-INS-6917/2021,hCoV-19/Peru/LOR-INS-2195/2021,hCoV-19/Peru/LIM-INS-5419/2021,hCoV-19/Peru/LIM-INS-7430/2021,hCoV-19/Peru/TAC-INS-5482/2021,hCoV-19/Peru/LIM-INS-054/2020,hCoV-19/Peru/LIM-INS-7419/2021,hCoV-19/Peru/CAL-INS-6733/2021,hCoV-19/Peru/LAL-INS-6743/2021,hCoV-19/Peru/LIM-INS-4918/2021,hCoV-19/Peru/LIM-INS-6646/2021,hCoV-19/Peru/LIM-INS-3191/2021,hCoV-19/Peru/LIM-INS-2864/2021,hCoV-19/Peru/LIM-INS-2867/2021,hCoV-19/Peru/LIM-INS-7418/2021,hCoV-19/Peru/LIM-INS-7427/2021,hCoV-19/Peru/LIM-INS-7422/2021,hCoV-19/Peru/LIM-INS-7035/2021,hCoV-19/Peru/LIM-INS-7421/2021,hCoV-19/Peru/LIM-INS-7425/2021
Susan Engelbrecht et al	8	unknown	unknown	unknown	hCoV-19/SouthAfrica/Tygerberg_2723/2021,hCoV-19/South_Africa/Tygerberg_2823/2021,hCoV-19/South_Africa/Tygerberg_2841/2021,hCoV-19/SouthAfrica/Tygerberg_2737/2021,hCoV-19/South_Africa/Tygerberg_2836/2021,hCoV-19/SouthAfrica/Tygerberg_1497/2021,hCoV-19/South_Africa/Tygerberg_2842/2021,hCoV-19/SouthAfrica/Tygerberg_1187/2021
König et al	1	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-C0017/2020
Wael H. Roshdy/ Mohamed Kamal / Shymaa s. Ahmed/ Ramy Galal/Nancy el guindy/ Amelia nagiub/salma sayed/ Abd Monaem Adel/Galal Mahmoud/Dalia Ramadan/Rabeh ..R. El/Shesheny/ Mohamed A Ali/Mohamed Hassany et al	2	unknown	unknown	unknown	hCoV-19/Egypt/CPHL-S9/2021,hCoV-19/Egypt/CPHL-S8/2021
Rabeh El-Shesheny et al	2	unknown	unknown	unknown	hCoV-19/Egypt/NRC-6375/2020,hCoV-19/Egypt/NRC-6638/2020
Hesham Elghazaly et al	1	unknown	unknown	unknown	hCoV-19/Egypt/MASRI-C4-037/2020
Habiba Al Safar et al	5	unknown	unknown	unknown	hCoV-19/UnitedArabEmirates/BTC-4599/2021,hCoV-19/UnitedArabEmirates/BTC-4433/2021,hCoV-19/UnitedArabEmirates/BTC-4480/2021,hCoV-19/UnitedArabEmirates/BTC-4672/2021,hCoV-19/UnitedArabEmirates/BTC-4577/2021
Zekri et al	2	unknown	unknown	unknown	hCoV-19/Egypt/CUNCI-HGC12I045/2021,hCoV-19/Egypt/CUNCI-HGC12I001/2021
Meumann et al	24	unknown	unknown	unknown	hCoV-19/Australia/NT219/2021,hCoV-19/Australia/NT51/2020,hCoV-19/Australia/NT53/2020,hCoV-19/Australia/NT91/2021,hCoV-19/Australia/NT101/2021,hCoV-19/Australia/NT97/2020,hCoV-19/Australia/NT149/2021,hCoV-19/Australia/NT52/2020,hCoV-19/Australia/NT67/2020,hCoV-19/Australia/NT92/2021,hCoV-19/Australia/NT16/2020,hCoV-19/Australia/NT162/2021,hCoV-19/Australia/NT377/2021,hCoV-19/Australia/NT382/2021,hCoV-19/Australia/NT352/2021,hCoV-19/Australia/NT331/2021,hCoV-19/Australia/NT335/2021,hCoV-19/Australia/NT337/2021,hCoV-19/Australia/NT339/2021,hCoV-19/Australia/NT340/2021,hCoV-19/Australia/NT381/2021,hCoV-19/Australia/NT338/2021,hCoV-19/Australia/NT353/2021,hCoV-19/Australia/NT380/2021
Javier Tognarelli et al	10	unknown	unknown	unknown	hCoV-19/Chile/RM-207714/2020,hCoV-19/Chile/RM-44936/2021,hCoV-19/Chile/RM-111216/2020,hCoV-19/Ecuador/EC-G-2565/2020,hCoV-19/Chile/AR-253614/2020,hCoV-19/Ecuador/EC-G-124255/2020,hCoV-19/Chile/RM-13937/2021,hCoV-19/Chile/RM-249762/2020,hCoV-19/Chile/RM-252202/2020,hCoV-19/Chile/AT-81385/2021
The Lighthouse Lab in Alderley Park et al	1	unknown	unknown	unknown	hCoV-19/England/ALDP-6D6A0F/2020
Lukas Endler et al	18	unknown	unknown	unknown	hCoV-19/Austria/CeMM1335/2020,hCoV-19/env/Austria/CeMM7292/2021,hCoV-19/Austria/CeMM2265/2021,hCoV-19/Austria/CeMM5348/2021,hCoV-19/Slovakia/CeMM3363/2020,hCoV-19/Austria/CeMM5480/2020,hCoV-19/Austria/CeMM15973/2021,hCoV-19/Austria/CeMM15370/2021,hCoV-19/Austria/CeMM13160/2021,hCoV-19/Austria/CeMM16211/2021,hCoV-19/Austria/CeMM12674/2021,hCoV-19/Austria/CeMM12968/2021,hCoV-19/Austria/CeMM15492/2021,hCoV-19/env/Liechtenstein/CeMM16311/2021,hCoV-19/env/Austria/CeMM17500/2021,hCoV-19/Austria/CeMM13943/2021,hCoV-19/Austria/CeMM13348/2021,hCoV-19/Austria/CeMM15373/2021
Knezevic et al	9	unknown	unknown	unknown	hCoV-19/Serbia/Belgrade-2973210801/2021,hCoV-19/Serbia/Belgrade-2905641312/2020,hCoV-19/Serbia/Bajina_Basta-3437352906/2021,hCoV-19/Serbia/Valjevo-J4593960208/2021,hCoV-19/Serbia/Belgrade-3484812507/2021,hCoV-19/Serbia/Belgrade-J8558080208/2021,hCoV-19/Serbia/Smederevska_Palanka-3474331907/2021,hCoV-19/Serbia/Belgrade-6575771707/2021,hCoV-19/Serbia/Belgrade-J8576760208/2021
Salihefendic L. et al	1	unknown	unknown	unknown	hCoV-19/BosniaandHerzegovina/AGC-SAR-002/2020
Dirbáková Z. et al	1	unknown	unknown	unknown	hCoV-19/Slovakia/14237-VHU5042/2020
Cristian Molina et al	2	unknown	unknown	unknown	hCoV-19/Chile/LR-UACH-00033/2021,hCoV-19/Chile/LR-UACH-00321/2021
Baumeister E. et al B	22	unknown	unknown	unknown	hCoV-19/Argentina/INEI109745/2021,hCoV-19/Argentina/INEI108861/2021,hCoV-19/Argentina/INEI107661/2021,hCoV-19/Argentina/INEI110484/2021,hCoV-19/Argentina/INEI107251/2021,hCoV-19/Argentina/INEI106989/2021,hCoV-19/Argentina/INEI095283/2020,hCoV-19/Argentina/INEI109525/2021,hCoV-19/Argentina/INEI106104/2021,hCoV-19/Argentina/INEI107103/2021,hCoV-19/Argentina/INEI107267/2021,hCoV-19/Argentina/INEI103409/2021,hCoV-19/Argentina/INEI107068/2021,hCoV-19/Argentina/INEI107177/2021,hCoV-19/Argentina/INEI105302/2021,hCoV-19/Argentina/INEI109415/2021,hCoV-19/Argentina/INEI110445/2021,hCoV-19/Argentina/INEI108266/2021,hCoV-19/Argentina/INEI110555/2021,hCoV-19/Argentina/INEI108852/2021,hCoV-19/Argentina/INEI108810/2021,hCoV-19/Argentina/INEI108898/2021
Karen Orostica et al	28	unknown	unknown	unknown	hCoV-19/Chile/AP-120475/2021,hCoV-19/Chile/AT-130698/2021,hCoV-19/Chile/VS-117607/2021,hCoV-19/Chile/VS-126507/2021,hCoV-19/Chile/AP-119001/2021,hCoV-19/Chile/AP-120464/2021,hCoV-19/Chile/AP-118975/2021,hCoV-19/Chile/BI-146386/2021,hCoV-19/Chile/VS-116043/2021,hCoV-19/Chile/BI-128333/2021,hCoV-19/Chile/BI-121125/2021,hCoV-19/Chile/AP-121197/2021,hCoV-19/Chile/NB-135765/2021,hCoV-19/Chile/NB-119924/2021,hCoV-19/Chile/VS-120565/2021,hCoV-19/Chile/RM-140918/2021,hCoV-19/Chile/BI-145188/2021,hCoV-19/Chile/RM-93045/2021,hCoV-19/Chile/RM-151071/2021,hCoV-19/Chile/RM-143697/2021,hCoV-19/Chile/LI-147311/2021,hCoV-19/Chile/AT-163347/2021,hCoV-19/Chile/RM-156382/2021,hCoV-19/Chile/RM-154892/2021,hCoV-19/Chile/RM-157219/2021,hCoV-19/Chile/TA-161195/2021,hCoV-19/Chile/RM-136105/2021,hCoV-19/Chile/RM-160534/2021
Rossana C Jaspe et al	9	unknown	unknown	unknown	hCoV-19/Venezuela/Mer5562/2021,hCoV-19/Venezuela/Dtt24/2021,hCoV-19/Venezuela/Dtt54/2021,hCoV-19/Venezuela/Bol4715/2021,hCoV-19/Venezuela/Bol5332/2021,hCoV-19/Venezuela/Bar7126/2021,hCoV-19/Venezuela/Por7193/2021,hCoV-19/Venezuela/Bar7076/2021,hCoV-19/Venezuela/Bar6904/2021
Diana López-Alvarez et al	1	unknown	unknown	unknown	hCoV-19/Colombia/COV_25796/2021
Eberhardt et al	15	unknown	unknown	unknown	hCoV-19/Argentina/PAIS-E0374/2021,hCoV-19/Argentina/PAIS-E0325/2021,hCoV-19/Argentina/PAIS-E0403/2021,hCoV-19/Argentina/PAIS-E0358/2021,hCoV-19/Argentina/PAIS-E0429/2021,hCoV-19/Argentina/PAIS-E0400/2021,hCoV-19/Argentina/PAIS-E0422/2021,hCoV-19/Argentina/PAIS-E0424/2021,hCoV-19/Argentina/PAIS-E0398/2021,hCoV-19/Argentina/PAIS-E0427/2021,hCoV-19/Argentina/PAIS-E0426/2021,hCoV-19/Argentina/PAIS-E0431/2021,hCoV-19/Argentina/PAIS-E0428/2021,hCoV-19/Argentina/PAIS-E0423/2021,hCoV-19/Argentina/PAIS-E0393/2021
Katherine Laiton-Donato et al	25	unknown	unknown	unknown	hCoV-19/Colombia/ATL-INS-10/2020,hCoV-19/Colombia/NAR-INS-VG-5677/2021,hCoV-19/Colombia/ATL-INS-06/2020,hCoV-19/Colombia/DC-INS-289/2020,hCoV-19/Colombia/DC-INS-3334/2020,hCoV-19/Colombia/DC-INS-4283/2020,hCoV-19/Colombia/BOY-INS-88859/2020,hCoV-19/Colombia/MAG-INS-VG-1639/2021,hCoV-19/Colombia/CUN-INS-VG-4768/2021,hCoV-19/Colombia/DC-INS-VG-8339/2021,hCoV-19/Colombia/SUC-INS-VG-7764/2021,hCoV-19/Colombia/SUC-INS-VG-8278/2021,hCoV-19/Colombia/COR-INS-VG-6981/2021,hCoV-19/Colombia/HUI-INS-VG-4803/2021,hCoV-19/Colombia/DC-INS-HUMB-VG-7521/2021,hCoV-19/Colombia/DC-INS-VG-8006/2021,hCoV-19/Colombia/ANT-INS-VG-5483/2021,hCoV-19/Colombia/SUC-INS-VG-1146/2021,hCoV-19/Colombia/SAP-INS-VG-8313/2021,hCoV-19/Colombia/DC-INS-VG-8352/2021,hCoV-19/Colombia/SAP-INS-VG-8330/2021,hCoV-19/Colombia/COR-INS-VG-8292/2021,hCoV-19/Colombia/ANT-INS-VG-8264/2021,hCoV-19/Colombia/DC-INS-VG-8463/2021,hCoV-19/Colombia/COR-INS-VG-7221/2021
Giorgi Tomashvili et al	8	unknown	unknown	unknown	hCoV-19/Georgia/Tb-RNGS013/2020,hCoV-19/Georgia/Tb-SNGS067/2021,hCoV-19/Georgia/Tb-SNGS680/2021,hCoV-19/Georgia/Tb-SNGS1426/2021,hCoV-19/Georgia/Tb-SNGS1568/2021,hCoV-19/Georgia/Tb-SNGS1571/2021,hCoV-19/Georgia/Tb-SNGS1149/2021,hCoV-19/Georgia/Tb-SNGS1433/2021
Salome Javashvili et al	1	unknown	unknown	unknown	hCoV-19/Georgia/Tb-86952/2020
Meri Pantsulaia et al	6	unknown	unknown	unknown	hCoV-19/Georgia/Tb-97937/2020,hCoV-19/Georgia/Tb-SNGS002/2021,hCoV-19/Georgia/Tb-SNGS052/2021,hCoV-19/Georgia/Tb-27822/2020,hCoV-19/Georgia/Tb-6598/2020,hCoV-19/Georgia/Tb-SNGS372/2021
Mauro de Medeiros Oliveira et al	1	unknown	unknown	unknown	hCoV-19/Brazil/PR-FIOCRUZ-5616-TG-172/2020
Ivars Silamiķelis et al	2	unknown	unknown	unknown	hCoV-19/Latvia/031/2020,hCoV-19/Latvia/091/2020
Ae Kyung Park et al	11	unknown	unknown	unknown	hCoV-19/SouthKorea/KDCA1392/2020,hCoV-19/SouthKorea/KDCA0133/2020,hCoV-19/SouthKorea/KDCA1250/2021,hCoV-19/SouthKorea/KDCA1446/2020,hCoV-19/SouthKorea/KDCA0468/2020,hCoV-19/SouthKorea/KDCA7233/2021,hCoV-19/SouthKorea/KDCA8653/2021,hCoV-19/SouthKorea/KDCA13255/2021,hCoV-19/SouthKorea/KDCA10511/2021,hCoV-19/SouthKorea/KDCA8430/2021,hCoV-19/SouthKorea/KDCA11811/2021
Claudia Wong-Arambula et al	56	unknown	unknown	unknown	hCoV-19/Mexico/MOR-InDRE_155/2020,hCoV-19/Mexico/HID-InDRE_271/2020,hCoV-19/Mexico/SON-InDRE_398/2020,hCoV-19/Mexico/PUE-InDRE_157/2020,hCoV-19/Mexico/CHP-InDRE_443/2021,hCoV-19/Mexico/MEX-InDRE_170/2020,hCoV-19/Mexico/TAB-InDRE_FB13054_S1621/2021,hCoV-19/Mexico/TAB-InDRE_FB16938_S3258/2021,hCoV-19/Mexico/VER-InDRE_322/2020,hCoV-19/Mexico/SLP-InDRE_FB18342_S4046/2021,hCoV-19/Mexico/HID-InDRE_FB19143_S4744/2021,hCoV-19/Mexico/CAM-InDRE_FB19748_S5094/2021,hCoV-19/Mexico/GUA-InDRE_FB18483_S4767/2021,hCoV-19/Mexico/SON-InDRE_FB20097_S5076/2021,hCoV-19/Mexico/HID-InDRE_FB14798_S2046/2021,hCoV-19/Mexico/TAM-InDRE_FB16726_S2771/2021,hCoV-19/Mexico/SLP-InDRE_288/2020,hCoV-19/Mexico/OAX-InDRE_262/2020,hCoV-19/Mexico/CHP-InDRE_108/2020,hCoV-19/Mexico/AGU-InDRE_334/2020,hCoV-19/Mexico/SLP-InDRE_FB17144_S3138/2021,hCoV-19/Mexico/TAB-InDRE_FB18533_S4287/2021,hCoV-19/Mexico/AGU_InDRE_FB29580_S6325/2021,hCoV-19/Mexico/JAL-InDRE_FB19295_S4826/2021,hCoV-19/Mexico/AGU_InDRE_FB29455_S6243/2021,hCoV-19/Mexico/BCS_InDRE_FB27945_S6068/2021,hCoV-19/Mexico/JAL_InDRE_FB40680_S7428/2021,hCoV-19/Mexico/CAM_InDRE_FB42419_S7712/2021,hCoV-19/Mexico/ROO_InDRE_FB30863_S6399/2021,hCoV-19/Mexico/MIC-InDRE_FB20149_S4960/2021,hCoV-19/Mexico/TAB_InDRE_FB28603_S5973/2021,hCoV-19/Mexico/DUR_InDRE_FB39879_S7384/2021,hCoV-19/Mexico/BCS-InDRE_FB19261_S4564/2021,hCoV-19/Mexico/JAL_InDRE_FB28242_S6203/2021,hCoV-19/Mexico/QUE_InDRE_FB31061_S6453/2021,hCoV-19/Mexico/AGU_InDRE_FB40069_S7403/2021,hCoV-19/Mexico/TLA-InDRE-FB33936-S6662/2021,hCoV-19/Mexico/MIC_InDRE_FB38131_S7043/2021,hCoV-19/Mexico/GRO-InDRE_FB22639_S5502/2021,hCoV-19/Mexico/COA-InDRE_FB25436_S5664/2021,hCoV-19/Mexico/MOR_InDRE_FB28733_S6020/2021,hCoV-19/Mexico/MIC-InDRE_FB19330_S4591/2021,hCoV-19/Mexico/GRO-InDRE-FB34572-S6910/2021,hCoV-19/Mexico/TAM_InDRE_FB39101_S7187/2021,hCoV-19/Mexico/QUE-InDRE_FB23789_S5569/2021,hCoV-19/Mexico/QUE-InDRE_FB19411_S4612/2021,hCoV-19/Mexico/MOR-InDRE_FB20631_S4975/2021,hCoV-19/Mexico/COL-InDRE_FB19288_S4580/2021,hCoV-19/Mexico/COL_InDRE_FB25970_S6392/2021,hCoV-19/Mexico/MOR_InDRE_FB43374_S7781/2021,hCoV-19/Mexico/AGU-InDRE_FB18596_S4465/2021,hCoV-19/Mexico/HID-InDRE_FB20320_S4838/2021,hCoV-19/Mexico/HID_InDRE_FB28385_S5903/2021,hCoV-19/Mexico/HID_InDRE_FB39649_S7357/2021,hCoV-19/Mexico/AGU-InDRE_FB22304_S5487/2021,hCoV-19/Mexico/TLA_InDRE_FB43312_S7747/2021
Janis Doss et al	3	unknown	unknown	unknown	hCoV-19/USA/DC-DFS-PHL-0229/2020,hCoV-19/USA/DC-DFS-PHL-0893/2021,hCoV-19/USA/DC-DFS-PHL-01314/2021
Sara Mfarrej et al	1	unknown	unknown	unknown	hCoV-19/SaudiArabia/KAUST-JEDDAH545/2020
Oscar M. Rollano-Peñaloza et al	3	unknown	unknown	unknown	hCoV-19/Bolivia/Beni-GM3-1/2021,hCoV-19/Bolivia/Pando-GM2-2/2021,hCoV-19/Bolivia/LaPaz_GM3-3/2021
Lobiuc Andrei et al.	2	unknown	unknown	unknown	hCoV-19/Romania/ROSV_12235/2020,hCoV-19/Romania/ROSV_4659/2020
Thanh Le Viet et al	3	unknown	unknown	unknown	hCoV-19/Zimbabwe/ZW-6970/2020,hCoV-19/Zimbabwe/ZW-25/2020,hCoV-19/Zimbabwe/ZW-29/2020
Souleymane Mboup et al	2	unknown	unknown	unknown	hCoV-19/Senegal/SN-IR6-002329/2020,hCoV-19/Senegal/SN-THI-20-1558/2020
Souleymane MBOUP et al	4	unknown	unknown	unknown	hCoV-19/Senegal/SN-MBO-21-1831/2021,hCoV-19/Senegal/SN-DKR-DIAM-002646/2021,hCoV-19/Senegal/SN-IRVAC-166/2021,hCoV-19/Senegal/SN-IRMBO-001060/2021
Kame A. Galán-Huerta et al	3	unknown	unknown	unknown	hCoV-19/Mexico/NLE-UANL-058/2020,hCoV-19/Mexico/NLE-UANL-005/2020,hCoV-19/Mexico/NLE-UANL-162/2021
Łukasz Madej et al	1	unknown	unknown	unknown	hCoV-19/Poland/PL_RCNT_Z41884/2020
Md. Imran Khan et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/DNAS_DRCIM_CPH_isl_510_BGD/2020
Shahina Akter et al	1	unknown	unknown	unknown	hCoV-19/Bangladesh/BCSIR-NILMRC-467/2021
CHRF Bangladesh Genomics Team et al	3	unknown	unknown	unknown	hCoV-19/Bangladesh/CHRF-0203/2020,hCoV-19/Bangladesh/CHRF-0258_Pr/2021,hCoV-19/Bangladesh/CHRF-GSB07-029/2021
Cooley L. et al	2	unknown	unknown	unknown	hCoV-19/Australia/TAS00279/2020,hCoV-19/Australia/TAS278/2020
